#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2015 05 10 15 50 340  4.0  5.0   1.3    10   6.8 280 1020.0  12.4  12.6    MM   MM +1.0    MM
2015 05 10 14 50 340  3.0  4.0   1.4    11   6.8 291 1019.9  12.3  12.6    MM   MM +1.1    MM
2015 05 10 13 50 320  4.0  5.0   1.3    11   6.3 276 1019.5  12.3  12.6    MM   MM +0.6    MM
2015 05 10 12 50 360  4.0  4.0   1.4    10   6.4 287 1019.0  12.1  12.6    MM   MM +0.0    MM
2015 05 10 11 50 320  4.0  5.0   1.3    10   5.9 286 1018.8  12.1  12.7    MM   MM -0.5    MM
2015 05 10 10 50 340  5.0  6.0   1.3    11   5.8 291 1018.9  12.3  12.7    MM   MM -0.3    MM
2015 05 10 09 50 340  4.0  5.0   1.3    10   6.0 293 1019.1  12.3  12.8    MM   MM +0.0    MM
2015 05 10 08 50 330  5.0  6.0   1.3    17   6.0 240 1019.3  12.3  12.8    MM   MM +0.0    MM
2015 05 10 07 50 320  6.0  7.0   1.2    10   5.5 300 1019.2  12.2  12.6    MM   MM -0.3    MM
2015 05 10 06 50 320  5.0  7.0   1.1    11   5.2 293 1019.2  12.2  12.7    MM   MM +0.0    MM
2015 05 10 05 50 330  5.0  6.0   1.2    17   5.5 228 1019.3  12.3  12.6    MM   MM +0.3    MM
2015 05 10 04 50 340  6.0  6.0   1.0    17   4.9 238 1019.5  12.4  12.6    MM   MM +0.5    MM
2015 05 10 03 50 330  6.0  7.0   1.1    11   5.5 307 1019.1  12.5  12.8    MM   MM +0.0    MM
2015 05 10 02 50 340  5.0  6.0   1.1    12   5.3 289 1019.0  12.5  12.7    MM   MM -0.3    MM
2015 05 10 01 50 340  5.0  7.0   1.2    11   5.0 301 1019.0  12.5  12.9    MM   MM -0.6    MM
2015 05 10 00 50 330  7.0  8.0   1.0    17   4.8 226 1018.9  12.7  13.1    MM   MM -1.0    MM
2015 05 09 23 50 330  7.0  7.0   1.1    17   5.3 228 1019.3  12.7  12.9    MM   MM -0.9    MM
2015 05 09 22 50 330  6.0  7.0   1.0    17   5.1 239 1019.6  12.7  12.9    MM   MM -0.8    MM
2015 05 09 21 50 340  6.0  7.0   1.0    17   5.2 231 1019.9  12.7  12.9    MM   MM -0.6    MM
2015 05 09 20 50 340  5.0  6.0   1.0    19   5.2 234 1020.2  12.6  12.9    MM   MM +0.0    MM
2015 05 09 19 50 340  5.0  6.0   1.1    17   5.3 235 1020.4  12.3  12.8    MM   MM +0.0    MM
2015 05 09 18 50 360  5.0  6.0   1.2    17   5.6 227 1020.5  12.3  12.7    MM   MM +0.6    MM
2015 05 09 17 50 360  5.0  6.0   1.0    12   4.6 304 1020.1  12.2  12.6    MM   MM +0.6    MM
2015 05 09 16 50 360  6.0  7.0   1.0    17   4.8 232 1020.2  12.3  12.5    MM   MM +1.1    MM
2015 05 09 15 50 350  5.0  7.0   1.0    19   5.1 236 1019.9  12.3  12.5    MM   MM +1.3    MM
2015 05 09 14 50 350  6.0  7.0   1.0    11   4.7 302 1019.5  12.4  12.5    MM   MM +1.1    MM
2015 05 09 13 50 340  6.0  7.0   1.0    11   5.3 299 1019.1  12.4  12.5    MM   MM +1.2    MM
2015 05 09 12 50 330  5.0  6.0   1.0    11   5.3 300 1018.6  12.3  12.5    MM   MM +1.0    MM
2015 05 09 11 50 320  6.0  6.0   1.1    19   5.6 237 1018.4  12.4  12.4    MM   MM +0.8    MM
2015 05 09 10 50 320  4.0  5.0   1.0    19   5.5 231 1017.9  12.5  12.4    MM   MM +0.3    MM
2015 05 09 09 50 340  4.0  4.0   1.0    12   5.8 300 1017.6  12.4  12.5    MM   MM +0.0    MM
2015 05 09 08 50 330  3.0  4.0   0.9    13   5.1 299 1017.6  12.4  12.5    MM   MM +0.5    MM
2015 05 09 07 50 360  3.0  4.0   0.9    13   4.7 296 1017.6  12.5  12.5    MM   MM +0.8    MM
2015 05 09 06 50 360  4.0  5.0   0.9    13   4.4 301 1017.4  12.7  12.6    MM   MM +1.0    MM
2015 05 09 05 50 350  6.0  7.0   1.0     6   4.4 331 1017.1  12.8  12.6    MM   MM +1.3    MM
2015 05 09 04 50 340  7.0  8.0   1.0    14   4.1 292 1016.8  12.8  12.7    MM   MM +1.2    MM
2015 05 09 03 50 340  7.0  8.0   1.0    14   4.6 283 1016.4  12.8  12.7    MM   MM +0.9    MM
2015 05 09 02 50 340  7.0  8.0   1.0     6   4.6 335 1015.8  12.9  12.7    MM   MM +0.4    MM
2015 05 09 01 50 330  7.0  8.0   1.0     7   4.4 337 1015.6  13.0  12.7    MM   MM +0.0    MM
2015 05 09 00 50 330  7.0  8.0   1.1     6   4.8 333 1015.5  13.0  12.7    MM   MM -0.0    MM
2015 05 08 23 50 330  6.0  7.0   1.1     6   4.8 326 1015.4  13.0  12.6    MM   MM -0.5    MM
2015 05 08 22 50 340  7.0  8.0   1.1     7   4.8 329 1015.4  12.9  12.6    MM   MM -0.9    MM
2015 05 08 21 50 340  7.0  8.0   1.1     6   4.6 327 1015.7  12.9  12.6    MM   MM -0.8    MM
2015 05 08 20 50 350  7.0  8.0   1.1     6   4.6 326 1015.9  12.6  12.5    MM   MM -0.7    MM
2015 05 08 19 50 350  6.0  7.0   1.1     6   4.5 323 1016.3  12.7  12.5    MM   MM -0.3    MM
2015 05 08 18 50  10  5.0  6.0   1.1     7   4.7 322 1016.5  12.8  12.5    MM   MM -0.4    MM
2015 05 08 17 50  10  5.0  6.0   1.0     6   4.3 327 1016.6  12.1  12.5    MM   MM +0.0    MM
2015 05 08 16 50  10  6.0  6.0   1.0     6   4.2 320 1016.6  10.5  12.4    MM   MM +0.0    MM
2015 05 08 15 50  10  6.0  8.0   1.1     6   4.5 334 1016.9  10.1  12.4    MM   MM +0.3    MM
2015 05 08 14 50  10  8.0  9.0   1.1     7   4.3 316 1016.6  11.7  12.4    MM   MM -0.6    MM
2015 05 08 13 50 360  8.0  9.0   1.2     6   4.7 334 1016.5  11.6  12.4    MM   MM -0.5    MM
2015 05 08 12 50 360  7.0  8.0   1.2     7   4.9 328 1016.6  11.6  12.4    MM   MM -0.5    MM
2015 05 08 11 50  10  5.0  7.0   1.3     7   4.9 328 1017.2  11.9  12.4    MM   MM -0.5    MM
2015 05 08 10 50 360  6.0  8.0   1.3     6   4.7 326 1017.0  11.9  12.4    MM   MM -0.9    MM
2015 05 08 09 50 360  7.0  8.0   1.3     7   4.9 322 1017.1  11.9  12.4    MM   MM -1.1    MM
2015 05 08 08 50  10  5.0  5.0   1.2     6   4.6 315 1017.7  11.9  12.5    MM   MM -0.6    MM
2015 05 08 07 50  10  6.0  7.0   1.3     6   4.7 311 1017.9  12.0  12.5    MM   MM -0.6    MM
2015 05 08 06 50  10  6.0  7.0   1.3     6   4.4 319 1018.2  11.9  12.5    MM   MM +0.0    MM
2015 05 08 05 50 360  7.0  8.0   1.2     6   4.4 320 1018.3  11.8  12.5    MM   MM +0.0    MM
2015 05 08 04 50 360  8.0 10.0   1.2     6   4.6 313 1018.5  11.8  12.5    MM   MM -0.3    MM
2015 05 08 03 50 350  7.0  8.0   1.4     7   4.6 318 1018.4  11.8  12.5    MM   MM -0.7    MM
2015 05 08 02 50 350  8.0 10.0   1.3     7   4.6 318 1018.5  11.8  12.6    MM   MM -0.7    MM
2015 05 08 01 50 340  8.0  9.0   1.2     7   4.5 322 1018.8  11.8  12.6    MM   MM -0.9    MM
2015 05 08 00 50 350  7.0  9.0   1.3     7   4.8 316 1019.1  11.7  12.6    MM   MM -0.8    MM
2015 05 07 23 50 340  7.0  9.0   1.3     7   4.8 311 1019.2  11.5  12.7    MM   MM -1.0    MM
