#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2015 05 10 14 50 340  3.0  4.0   1.1    11   5.9 285 1019.7  12.1  13.0    MM   MM +0.6    MM
2015 05 10 13 50 350  4.0  5.0   1.3     9   6.3 292 1019.5  12.4  13.0    MM   MM +0.3    MM
2015 05 10 12 50 360  3.0  4.0   1.3    11   6.0 281 1019.2  12.4  12.9    MM   MM +0.0    MM
2015 05 10 11 50 340  4.0  5.0   1.2    10   5.9 302 1019.1  12.2  12.9    MM   MM +0.0    MM
2015 05 10 10 50 350  5.0  6.0   1.4    11   5.9 295 1019.2  12.3  12.9    MM   MM +0.0    MM
2015 05 10 09 50 350  5.0  7.0   1.4    10   5.7 292 1019.1  12.4  12.9    MM   MM +0.0    MM
2015 05 10 08 50 350  6.0  7.0   1.2    11   5.2 291 1019.1  12.6  13.0    MM   MM +0.0    MM
2015 05 10 07 50 350  6.0  7.0   1.2    11   5.3 295 1019.0  12.7  13.1    MM   MM +0.0    MM
2015 05 10 06 50 330  6.0  8.0   1.1    12   4.9 292 1019.2  12.9  13.1    MM   MM +0.5    MM
2015 05 10 05 50  10  7.0  7.0   1.2    12   5.1 287 1018.9  12.9  13.1    MM   MM +0.7    MM
2015 05 10 04 50 360  7.0  8.0   1.2    17   4.9 225 1019.0  13.0  13.1    MM   MM +1.0    MM
2015 05 10 03 50 360  7.0  9.0   1.2    17   4.6 251 1018.7  12.9  12.9    MM   MM +0.5    MM
2015 05 10 02 50 360  8.0  9.0   1.2     5   4.6 336 1018.2  12.9  12.9    MM   MM -0.4    MM
2015 05 10 01 50 350  7.0  9.0   1.2    17   4.9 214 1018.0  13.6  12.9    MM   MM -1.1    MM
2015 05 10 00 50 350  7.0  8.0   1.2    13   5.4 304 1018.2  13.4  12.9    MM   MM -1.2    MM
2015 05 09 23 50 350  7.0  8.0   1.2    17   5.4 260 1018.6  13.3  12.9    MM   MM -0.9    MM
2015 05 09 22 50 360  6.0  7.0   1.2    17   5.3 253 1019.1  13.2  12.7    MM   MM -0.7    MM
2015 05 09 21 50 350  6.0  7.0   1.1    11   5.4 300 1019.4  13.1  12.9    MM   MM -0.5    MM
2015 05 09 20 50 360  6.0  7.0   1.2    17   5.6 238 1019.5  12.9  12.8    MM   MM -0.3    MM
2015 05 09 19 50  10  5.0  6.0   1.1    11   5.1 310 1019.8  12.9  12.6    MM   MM +0.3    MM
2015 05 09 18 50  20  5.0  6.0   1.1    13   5.4 313 1019.9  12.9  12.7    MM   MM +0.8    MM
2015 05 09 17 50  10  6.0  7.0   1.1    11   5.3 306 1019.8  12.8  12.5    MM   MM +0.9    MM
2015 05 09 16 50  20  6.0  8.0   1.2    17   5.2 243 1019.5  12.8  12.5    MM   MM +1.2    MM
2015 05 09 15 50  20  7.0  8.0   1.2    17   5.2 217 1019.1  12.7  12.4    MM   MM +1.2    MM
2015 05 09 14 50  10  6.0  8.0   1.1    12   5.1 313 1018.9  12.8  12.3    MM   MM +1.3    MM
2015 05 09 13 50 360  6.0  7.0   1.0    12   4.8 287 1018.3  12.7  12.2    MM   MM +1.1    MM
2015 05 09 12 50 360  6.0  6.0   1.0     6   4.9 340 1017.9  12.7  12.2    MM   MM +0.9    MM
2015 05 09 11 50 360  6.0  7.0   1.2    12   5.3 309 1017.6  12.8  12.4    MM   MM +0.7    MM
2015 05 09 10 50 360  5.0  6.0   1.2    13   5.3 309 1017.2  12.8  12.3    MM   MM +0.4    MM
2015 05 09 09 50 350  5.0  6.0   1.3    13   5.0 287 1017.0  12.9  12.3    MM   MM +0.7    MM
2015 05 09 08 50 350  6.0  7.0   1.3     7   5.0 338 1016.9  12.9  12.4    MM   MM +0.8    MM
2015 05 09 07 50 350  6.0  7.0   1.4    17   4.9 252 1016.8  13.0  12.4    MM   MM +1.0    MM
2015 05 09 06 50 360  7.0  8.0   1.4     6   5.2 350 1016.3  13.1  12.5    MM   MM +1.2    MM
2015 05 09 05 50 360  8.0  9.0   1.3     6   4.9 340 1016.1  13.2  12.5    MM   MM +1.3    MM
2015 05 09 04 50 360  7.0  9.0   1.3     6   4.8 337 1015.8  13.2  12.3    MM   MM +1.4    MM
2015 05 09 03 50 360  8.0  9.0   1.3     6   4.7 341 1015.1  13.3  12.4    MM   MM +0.8    MM
2015 05 09 02 50 360  8.0  9.0   1.2     6   4.7 346 1014.8  13.6  12.5    MM   MM +0.5    MM
2015 05 09 01 50 360  8.0  9.0   1.2     7   4.7 342 1014.4  13.9  12.5    MM   MM +0.0    MM
2015 05 09 00 50 350  8.0  9.0   1.1     7   4.7 351 1014.3  13.6  12.6    MM   MM -0.4    MM
2015 05 08 23 50 350  6.0  8.0   1.2     7   5.0 341 1014.3  13.3  12.7    MM   MM -0.8    MM
2015 05 08 22 50 350  6.0  7.0   1.1     6   4.7 340 1014.3  13.1  12.7    MM   MM -1.0    MM
2015 05 08 21 50 350  7.0  8.0   1.2     7   5.0 347 1014.7  12.9  12.6    MM   MM -0.9    MM
2015 05 08 20 50 360  6.0  8.0   1.2     6   4.8 337 1015.1  12.2  12.4    MM   MM -0.5    MM
2015 05 08 19 50 350  7.0  8.0   1.3     6   5.1 342 1015.3  12.1  12.4    MM   MM -0.3    MM
2015 05 08 18 50  10  6.0  7.0   1.3     6   5.0 340 1015.6  11.9  12.3    MM   MM +0.0    MM
2015 05 08 17 50  10  6.0  7.0   1.3     6   5.1 338 1015.6  11.8  12.3    MM   MM +0.3    MM
2015 05 08 16 50  30  6.0  8.0   1.3     7   4.7 333 1015.6  11.8  12.3    MM   MM +0.5    MM
2015 05 08 15 50  20  8.0  9.0   1.3     7   4.5 346 1015.5  11.7  12.1    MM   MM +0.5    MM
2015 05 08 14 50  30  8.0  9.0   1.5     7   4.7 344 1015.3  11.8  12.1    MM   MM +0.0    MM
2015 05 08 13 50  30  8.0 10.0   1.6     6   4.7 334 1015.1  12.0  12.0    MM   MM +0.0    MM
2015 05 08 12 50  20  8.0 10.0   1.6     6   4.7 336 1015.0  12.0  12.0    MM   MM -0.4    MM
